Subject,cond,trialNum,reversals,streakLength,lowFreq,highFreq,freqDiff,correct,RT,Time
ABCD_1701,a,1,0,0,1000,1500,500,1,2.894405842,55.403512
ABCD_1701,a,2,0,1,1000,1500,500,1,2.337852955,57.74155998
ABCD_1701,a,3,0,0,1000,750,250,1,2.62221694,60.36420012
ABCD_1701,a,4,0,1,1000,750,250,1,2.154602051,62.51904607
ABCD_1701,a,5,0,0,1000,1125,125,1,2.454452038,64.97366905
ABCD_1701,a,6,0,1,1000,875,125,1,2.338139057,67.31197715
ABCD_1701,a,7,0,0,1000,1062.5,62.5,1,2.622075081,69.93421316
ABCD_1701,a,8,0,1,1000,937.5,62.5,1,2.872951031,72.80738997
ABCD_1701,a,9,0,0,1000,968.75,31.25,1,2.003723145,74.81129098
ABCD_1701,a,10,0,1,1000,1031.25,31.25,1,2.254744053,77.06641698
ABCD_1701,a,11,0,0,1000,984.375,15.625,0,3.122879028,80.1896441
ABCD_1701,a,12,1,0,1000,1055.625,55.625,1,3.22317791,83.41321516
ABCD_1701,a,13,1,1,1000,944.375,55.625,1,2.939143896,86.35255313
ABCD_1701,a,14,1,0,1000,972.1875,27.8125,1,2.872537136,89.22524905
ABCD_1701,a,15,1,1,1000,972.1875,27.8125,1,2.271386862,91.49675012
ABCD_1701,a,16,1,0,1000,1013.90625,13.90625,1,2.371741056,93.86884999
ABCD_1701,a,17,1,1,1000,986.09375,13.90625,1,2.421388865,96.29057813
ABCD_1701,a,18,1,0,1000,993.046875,6.953125,1,2.638648033,98.92942905
ABCD_1701,a,19,1,1,1000,1006.953125,6.953125,0,2.588653803,101.518404
ABCD_1701,a,20,2,0,1000,1046.953125,46.953125,1,2.838965893,104.357785
ABCD_1701,a,21,2,1,1000,953.046875,46.953125,1,2.822373867,107.1803591
ABCD_1701,a,22,2,0,1000,976.5234375,23.4765625,1,2.304616213,109.485137
ABCD_1701,a,23,2,1,1000,976.5234375,23.4765625,1,2.521860838,112.007385
