PartID,Subject,trialNum,cond,soundfile,leftprompt,rightprompt,response,correct,keyResp,keyRT,Time
5039,1,1,1-i,kick-chick-1-i.wav,stim2_2,stim2_1,chick,1,z,5.759770871,101.3117982
5039,1,2,2-c,pig-dig-2-c.wav,stim40_1,stim40_2,dig,1,m,5.870887515,107.4308948
5039,1,3,2-n,toy-boy-2-n.wav,stim31_2,stim31_1,toy,1,z,3.839658967,111.5191666
5039,1,4,2-i,cold-gold-2-i.wav,stim41_2,stim41_1,cold,1,m,4.735148983,116.5031351
5039,1,5,2-n,chin-bin-2-n.wav,stim18_2,stim18_1,bin,0,m,6.366920706,123.1182946
5039,1,6,2-n,cane-chain-2-n.wav,stim12_2,stim12_1,chain,0,m,4.879552461,128.246659
5039,1,7,2-c,rake-cake-2-c.wav,stim46_1,stim46_2,cake,1,m,6.214886557,134.7106107
5039,1,8,1-c,bees-peas-1-c.wav,stim1_2,stim1_1,bees,1,m,4.486842175,139.4458315
5039,1,9,1-i,tool-pool-1-i.wav,stim39_2,stim39_1,pool,1,z,4.335328775,144.0299974
5039,1,10,2-i,dots-pots-2-i.wav,stim47_1,stim47_2,pots,0,m,4.087089626,148.3658925
5039,1,11,2-c,rail-jail-2-c.wav,stim27_1,stim27_2,jail,1,m,7.142946523,155.7578414
5039,1,12,1-n,gown-town-1-n.wav,stim58_2,stim58_1,gown,1,m,4.18267657,160.1896067
5039,1,13,2-i,peak-beak-2-i.wav,stim22_1,stim22_2,beak,0,m,5.062714048,165.5013
5039,1,14,1-n,bag-tag-1-n.wav,stim23_2,stim23_1,tag,1,z,4.062956938,169.8126089
5039,1,15,1-n,date-gate-1-n.wav,stim36_2,stim36_1,gate,0,z,3.687401695,173.7486618
5039,1,16,2-n,drain-brain-2-n.wav,stim43_1,stim43_2,brain,1,m,3.167064767,177.1646134
5039,1,17,1-c,trash-crash-1-c.wav,stim44_2,stim44_1,trash,0,z,6.543081461,183.9567825
5039,1,18,1-n,cub-tub-1-n.wav,stim29_2,stim29_1,tub,0,z,3.414669515,187.6198591
5039,1,19,1-i,booth-tooth-1-i.wav,stim55_2,stim55_1,tooth,0,m,5.503351794,193.3719659
5039,1,20,1-i,can-pan-1-i.wav,stim20_1,stim20_2,pan,0,z,4.119101196,197.7401071
5039,1,21,2-i,cone-bone-2-i.wav,stim10_2,stim10_1,bone,0,z,4.094752607,202.0831802
5039,1,22,2-n,lamp-ramp-2-n.wav,stim65_1,stim65_2,lamp,0,z,6.231441788,208.563461
5039,1,23,1-i,tube-cube-1-i.wav,stim61_2,stim61_1,cube,0,m,7.622714885,216.4345496
5039,1,24,2-n,blue-glue-2-n.wav,stim59_2,stim59_1,blue,1,z,3.391576043,220.0746137
5039,1,25,1-n,lips-chips-1-n.wav,stim64_1,stim64_2,lips,0,z,4.735333336,225.0587514
5039,1,26,2-n,cart-tart-2-n.wav,stim6_1,stim6_2,cart,0,z,5.246972628,230.5538826
5039,1,27,1-c,bark-dark-1-c.wav,stim38_2,stim38_1,dark,1,m,3.855737543,234.6579707
5039,1,28,1-c,bank-tank-1-c.wav,stim32_2,stim32_1,bank,1,m,4.983411319,239.8902696
5039,1,29,1-c,bug-rug-1-c.wav,stim13_2,stim13_1,rug,1,z,7.72674023,247.8653201
5039,1,30,1-i,pen-den-1-i.wav,stim33_1,stim33_2,pen,0,m,4.279500766,252.3933933
5039,1,31,1-i,buns-guns-1-i.wav,stim26_2,stim26_1,buns,0,m,7.895166164,260.5375984
5039,1,32,2-c,grip-drip-2-c.wav,stim56_2,stim56_1,drip,1,z,6.822670412,267.6087733
5039,1,33,2-i,pole-goal-2-i.wav,stim28_1,stim28_2,pole,0,m,5.407290475,273.2648917
5039,1,34,1-i,king-ring-1-i.wav,stim45_2,stim45_1,ring,0,m,5.758802355,279.2720624
5039,1,35,2-i,toes-bows-2-i.wav,stim4_2,stim4_1,bows,0,z,6.055449421,285.5762182
5039,1,36,2-c,cape-tape-2-c.wav,stim62_1,stim62_2,cape,1,m,4.311119305,290.1366177
5039,1,37,1-n,cars-bars-1-n.wav,stim17_1,stim17_2,cars,1,z,3.598576115,293.9834056
5039,1,38,1-i,box-chalks-1-i.wav,stim14_1,stim14_2,box,0,z,5.407539066,299.6395449
5039,1,39,2-c,jet-pet-2-c.wav,stim34_1,stim34_2,pet,1,m,5.119167335,305.0076493
5039,1,40,2-i,pear-bear-2-i.wav,stim16_1,stim16_2,pear,1,z,7.654811219,312.9108677
5039,1,41,1-i,beach-peach-1-i.wav,stim8_2,stim8_1,beach,0,m,4.47139838,317.6309952
5039,1,42,2-c,ghost-toast-2-c.wav,stim3_1,stim3_2,toast,1,m,4.727145045,322.6071639
5039,1,43,1-c,pie-tie-1-c.wav,stim7_2,stim7_1,tie,1,m,4.326662308,327.1822033
5039,1,44,2-n,train-grain-2-n.wav,stim37_2,stim37_1,train,0,m,4.911483068,332.3423547
5039,1,45,1-c,robe-globe-1-c.wav,stim53_2,stim53_1,robe,1,m,3.327264399,335.9184273
5039,1,46,2-n,cord-board-2-n.wav,stim50_1,stim50_2,cord,0,z,3.614973601,339.7815157
5039,1,47,1-n,bow-cow-1-n.wav,stim5_1,stim5_2,cow,0,m,7.279529654,347.3097235
