"","Subject","trialNum","cond","soundfile","leftprompt","rightprompt","response","keyResp","keyRT","Time"
"1","ABCD_",1,"cc-1","dashed-cc-1.wav","dashed","cashed","dashed","z",6.3901181221,70.1366829872
"2","ABCD_",2,"ic-2","cub-ic-2.wav","tub","cub","tub","z",3.4769449234,73.864000082
"3","ABCD_",3,"ic-2","bins-ic-2.wav","bins","pins","bins","z",4.99771499634,79.11282897
"4","ABCD_",4,"ic-2","cone-ic-2.wav","cone","bone","cone","z",5.62086606026,84.9848120213
"5","ABCD_",5,"cc-1","core-cc-1.wav","door","core","core","m",3.98080205917,89.2167510986
"6","ABCD_",6,"ic-1","born-ic-1.wav","corn","born","born","m",4.3328230381,93.8005759716
"7","ABCD_",7,"cc-1","plank-cc-1.wav","blank","plank","blank","z",3.92496705055,97.97610116
"8","ABCD_",8,"ic-2","pit-ic-2.wav","pit","kit","pit","z",3.39736604691,101.624263048
"9","ABCD_",9,"cc-2","car-cc-2.wav","car","bar","bar","m",3.30110907555,105.176337957
"10","ABCD_",10,"cc-2","brown-cc-2.wav","brown","drown","drown","m",3.90894818306,109.335566998
"11","ABCD_",11,"cc-2","book-cc-2.wav","book","cook","cook","m",3.63757801056,113.224290133
"12","ABCD_",12,"cc-2","top-cc-2.wav","top","cop","top","z",4.7809689045,118.256181002
"13","ABCD_",13,"cc-2","play-cc-2.wav","clay","play","play","m",4.83734893799,123.344100952
"14","ABCD_",14,"cc-1","pear-cc-1.wav","pear","bear","bear","m",5.50098705292,129.096219063
"15","ABCD_",15,"cc-1","bark-cc-1.wav","park","bark","bark","m",4.14890503883,133.496255159
"16","ABCD_",16,"ic-2","tag-ic-2.wav","bag","tag","bag","z",3.04465699196,136.792025089
"17","ABCD_",17,"cc-2","ghost-cc-2.wav","post","ghost","post","z",3.67703008652,140.720164061
"18","ABCD_",18,"ic-1","bees-ic-1.wav","bees","peas","bees","z",4.4368429184,145.40812397
"19","ABCD_",19,"cc-1","dyed-cc-1.wav","tied","dyed","dyed","m",4.21277618408,149.871910095
"20","ABCD_",20,"cc-1","birth-cc-1.wav","girth","birth","birth","m",4.38083600998,154.503560066
"21","ABCD_",21,"ic-1","tacks-ic-1.wav","backs","tacks","backs","z",4.91739106178,159.671919107
"22","ABCD_",22,"ic-1","pills-ic-1.wav","bills","pills","bills","z",6.10104584694,166.023503065
"23","ABCD_",23,"cc-2","keg-cc-2.wav","peg","keg","peg","z",3.18929195404,169.463911057
"24","ABCD_",24,"ic-2","grim-ic-2.wav","prim","grim","grim","m",3.79680800438,173.511847019
"25","ABCD_",25,"ic-1","drying-ic-1.wav","crying","drying","drying","m",4.8687479496,178.631713152
"26","ABCD_",26,"cc-2","cot-cc-2.wav","pot","cot","pot","z",3.43683505058,182.319658995
"27","ABCD_",27,"ic-1","pail-ic-1.wav","tail","pail","pail","m",4.1168949604,186.687033176
"28","ABCD_",28,"ic-1","tricks-ic-1.wav","bricks","tricks","bricks","z",4.28562808037,191.223765135
"29","ABCD_",29,"cc-2","papers-cc-2.wav","papers","capers","papers","z",5.29270195961,196.767582178
"30","ABCD_",30,"cc-1","ton-cc-1.wav","pun","ton","ton","m",3.54086494446,200.559574127
"31","ABCD_",31,"cc-2","base-cc-2.wav","base","case","base","z",5.7647960186,206.574627161
"32","ABCD_",32,"cc-1","tarts-cc-1.wav","carts","tarts","carts","z",5.02982997894,211.85474515
"33","ABCD_",33,"ic-1","pay-ic-1.wav","pay","day","pay","z",3.11731290817,215.223129988
"34","ABCD_",34,"cc-1","grip-cc-1.wav","drip","grip","drip","z",4.00491094589,219.478888988
"35","ABCD_",35,"ic-2","pan-ic-2.wav","pan","can","pan","z",3.56521296501,223.294486046
"36","ABCD_",36,"cc-1","cap-cc-1.wav","gap","cap","cap","m",3.88580107689,227.430502176
"37","ABCD_",37,"ic-1","bugs-ic-1.wav","pugs","bugs","bugs","m",4.30165696144,231.982752085
"38","ABCD_",38,"ic-1","coats-ic-1.wav","coats","goats","coats","z",3.90905189514,236.142557144
"39","ABCD_",39,"ic-1","tick-ic-1.wav","tick","pick","tick","z",3.421407938,239.815097094
"40","ABCD_",40,"cc-2","pie-cc-2.wav","pie","tie","tie","m",3.26061701775,243.326815128
"41","ABCD_",41,"ic-2","buns-ic-2.wav","buns","guns","guns","m",3.7730820179,247.351037025
"42","ABCD_",42,"cc-1","bats-cc-1.wav","cats","bats","cats","z",4.09290504456,251.695028067
"43","ABCD_",43,"ic-1","bass-ic-1.wav","bass","gas","bass","z",4.13280296326,256.078952074
"44","ABCD_",44,"cc-2","beach-cc-2.wav","beach","peach","beach","z",4.76480793953,261.09485817
"45","ABCD_",45,"ic-2","ball-ic-2.wav","call","ball","call","z",3.80462002754,265.150439024
"46","ABCD_",46,"ic-2","toes-ic-2.wav","bows","toes","toes","m",3.82118105888,269.221863031
"47","ABCD_",47,"ic-2","bow-ic-2.wav","bow","cow","cow","m",3.66169810295,273.133993149
"48","ABCD_",48,"cc-1","pane-cc-1.wav","pane","cane","pane","z",3.30160689354,276.686563015
"49","ABCD_",49,"cc-2","dripped-cc-2.wav","tripped","dripped","tripped","z",4.39692401886,281.334620953
"50","ABCD_",50,"ic-2","ducks-ic-2.wav","ducks","pucks","pucks","m",4.02085208893,285.606454134
"51","ABCD_",51,"ic-1","goal-ic-1.wav","pole","goal","goal","m",4.06897997856,289.926538944
"52","ABCD_",52,"ic-2","bath-ic-2.wav","path","bath","path","z",4.15663385391,294.334007025
"53","ABCD_",53,"cc-1","box-cc-1.wav","docks","box","box","m",3.9411649704,298.525758028
"54","ABCD_",54,"cc-2","tasted-cc-2.wav","pasted","tasted","tasted","m",4.42932581902,303.205482006
"55","ABCD_",55,"ic-2","peak-ic-2.wav","peak","beak","beak","m",3.28581595421,306.742426157
"56","ABCD_",56,"ic-1","crow-ic-1.wav","pro","crow","pro","z",4.15680193901,311.150390148
"57","ABCD_1701",1,"ic-1","tasted-ic-1.wav","tasted","pasted","tasted","z",6.10922884941,67.7323870659
"58","ABCD_1701",2,"cc-2","box-cc-2.wav","box","docks","docks","m",3.63486599922,71.6176640987
"59","ABCD_1701",3,"cc-1","bins-cc-1.wav","pins","bins","bins","m",3.87619590759,75.7449851036
"60","ABCD_1701",4,"ic-2","pills-ic-2.wav","pills","bills","pills","z",4.18643593788,80.1825590134
"61","ABCD_1701",5,"ic-2","crow-ic-2.wav","crow","pro","crow","z",3.44711303711,84.3312561512
"62","ABCD_1701",6,"cc-2","dyed-cc-2.wav","dyed","tied","tied","m",3.68527007103,88.2672679424
"63","ABCD_1701",7,"cc-1","peak-cc-1.wav","beak","peak","peak","m",3.3491499424,91.8675620556
"64","ABCD_1701",8,"ic-2","goal-ic-2.wav","pole","goal","goal","m",3.53271389008,95.6513850689
"65","ABCD_1701",9,"ic-1","brown-ic-1.wav","drown","brown","drown","z",3.4270670414,99.3286650181
"66","ABCD_1701",10,"ic-2","born-ic-2.wav","corn","born","born","m",3.35772013664,102.937534094
"67","ABCD_1701",11,"cc-1","buns-cc-1.wav","guns","buns","buns","m",3.52480983734,106.713465929
