"","Subject","trialNum","Response","soundfile","keyResp","keyRT","Time"
"1","ABCD_1701",1,"b","a_bd06_CV.wav","z",1.55677700043,89.1389679909
"2","ABCD_1701",2,"b","a_bd02_CV.wav","z",0.715074062347,89.8670628071
"3","ABCD_1701",3,"d","a_bd18_CV.wav","m",0.725052118301,90.5950009823
"4","ABCD_1701",4,"b","a_bd08_CV.wav","z",0.685665130615,91.2910718918
"5","ABCD_1701",5,"d","a_bd12_CV.wav","m",0.816110134125,92.1229608059
"6","ABCD_1701",6,"d","a_bd14_CV.wav","m",0.749109983444,92.8909769058
"7","ABCD_1701",7,"d","a_bd16_CV.wav","m",0.653099060059,93.5630400181
"8","ABCD_1701",8,"b","a_bd10_CV.wav","z",1.05663204193,94.634855032
"9","ABCD_1701",9,"b","a_bd04_CV.wav","z",0.836010932922,95.4829089642
"10","ABCD_1701",10,"d","a_bd18_CV.wav","m",0.599753856659,96.0988729
"11","ABCD_1701",11,"d","a_bd14_CV.wav","m",0.694001197815,96.8107898235
"12","ABCD_1701",12,"b","a_bd08_CV.wav","z",0.632574081421,97.4508838654
"13","ABCD_1701",13,"d","a_bd12_CV.wav","m",0.716215133667,98.1868638992
"14","ABCD_1701",14,"d","a_bd16_CV.wav","m",0.686290025711,98.8908789158
"15","ABCD_1701",15,"b","a_bd06_CV.wav","z",0.696433067322,99.6027610302
"16","ABCD_1701",16,"b","a_bd04_CV.wav","z",0.723451852798,100.330870867
"17","ABCD_1701",17,"d","a_bd10_CV.wav","m",1.02831888199,101.37075901
"18","ABCD_1701",18,"b","a_bd02_CV.wav","z",0.760532855988,102.138739824
"19","ABCD_1701",19,"b","a_bd06_CV.wav","z",0.800419092178,102.946715832
"20","ABCD_1701",20,"d","a_bd18_CV.wav","m",0.581843137741,103.546983004
"21","ABCD_1701",21,"d","a_bd12_CV.wav","m",0.812752008438,104.378697872
"22","ABCD_1701",22,"b","a_bd08_CV.wav","z",0.738296985626,105.122660875
"23","ABCD_1701",23,"d","a_bd14_CV.wav","m",0.738672971725,105.874652863
"24","ABCD_1701",24,"d","a_bd16_CV.wav","m",0.619112014771,106.506680012
"25","ABCD_1701",25,"b","a_bd02_CV.wav","z",0.712146997452,107.234685898
"26","ABCD_1701",26,"b","a_bd04_CV.wav","z",0.794288873672,108.034586906
"27","ABCD_1701",27,"b","a_bd10_CV.wav","z",0.688441038132,108.730988979
"28","ABCD_1701",28,"b","a_bd02_CV.wav","z",0.842715024948,109.586676836
"29","ABCD_1701",29,"b","a_bd14_CV.wav","z",0.350740909576,109.946549892
"30","ABCD_1701",30,"d","a_bd16_CV.wav","m",1.40922284126,111.522527933
"31","ABCD_1701",31,"","a_bd12_CV.wav","",0,113.532960892
"32","ABCD_1701",32,"d","a_bd06_CV.wav","m",0.401365995407,113.938575029
"33","ABCD_1701",33,"b","a_bd10_CV.wav","z",1.7396800518,115.794554949
"34","ABCD_1701",34,"d","a_bd18_CV.wav","m",1.24172306061,117.050431967
"35","ABCD_1701",35,"b","a_bd08_CV.wav","z",0.965121984482,118.026515007
"36","ABCD_1701",36,"b","a_bd04_CV.wav","z",1.22813987732,119.258394957
"37","ABCD_1701",37,"d","a_bd12_CV.wav","m",1.04833722115,120.314427853
"38","ABCD_1701",38,"d","a_bd14_CV.wav","m",0.859905004501,121.178257942
"39","ABCD_1701",39,"b","a_bd02_CV.wav","z",1.32770895958,122.5146029
"40","ABCD_1701",40,"b","a_bd06_CV.wav","z",0.999378204346,123.522411823
"41","ABCD_1701",41,"d","a_bd18_CV.wav","m",0.685578107834,124.210443974
"42","ABCD_1701",42,"d","a_bd16_CV.wav","m",0.99161195755,125.218178034
"43","ABCD_1701",43,"b","a_bd04_CV.wav","z",0.997405052185,126.226190805
"44","ABCD_1701",44,"d","a_bd10_CV.wav","m",1.17123794556,127.402216911
"45","ABCD_1701",45,"d","a_bd08_CV.wav","m",1.23344111443,128.650197029
"46","ABCD_1701",46,"d","a_bd14_CV.wav","m",0.90154004097,129.554144859
"47","ABCD_1701",47,"b","a_bd04_CV.wav","z",0.662801027298,130.234174013
"48","ABCD_1701",48,"d","a_bd16_CV.wav","m",0.786803007126,131.026165962
"49","ABCD_1701",49,"d","a_bd10_CV.wav","m",0.944930076599,131.98613596
"50","ABCD_1701",50,"d","a_bd12_CV.wav","m",1.13708591461,133.130287886
"51","ABCD_1701",51,"d","a_bd18_CV.wav","m",0.640240192413,133.786137819
"52","ABCD_1701",52,"b","a_bd08_CV.wav","z",0.676716089249,134.474105835
"53","ABCD_1701",53,"b","a_bd02_CV.wav","z",0.904268980026,135.386132002
"54","ABCD_1701",54,"b","a_bd06_CV.wav","z",0.865520954132,136.266021013
"55","ABCD_1701",55,"b","a_bd06_CV.wav","z",0.756962060928,137.026031971
"56","ABCD_1701",56,"d","a_bd18_CV.wav","m",0.868227005005,137.905949831
"57","ABCD_1701",57,"b","a_bd08_CV.wav","z",1.11148786545,139.034229994
"58","ABCD_1701",58,"d","a_bd12_CV.wav","m",0.82432103157,139.865893841
"59","ABCD_1701",59,"d","a_bd14_CV.wav","m",0.764966964722,140.641963005
"60","ABCD_1701",60,"b","a_bd02_CV.wav","z",1.02876996994,141.673810005
"61","ABCD_1701",61,"d","a_bd10_CV.wav","m",0.929445028305,142.609866858
"62","ABCD_1701",62,"d","a_bd16_CV.wav","m",0.98606801033,143.601955891
"63","ABCD_1701",63,"b","a_bd04_CV.wav","z",0.887495040894,144.505815029
"64","ABCD_1702",1,"d","a_bd14_CV.wav","m",0.992975950241,79.2018780708
"65","ABCD_1702",2,"b","a_bd02_CV.wav","z",0.70859003067,79.9298160076
"66","ABCD_1702",3,"","a_bd06_CV.wav","",0,81.9734740257
"67","ABCD_1702",4,"d","a_bd08_CV.wav","m",1.11122703552,83.1294858456
"68","ABCD_1702",5,"d","a_bd12_CV.wav","m",1.21027994156,84.3854839802
"69","ABCD_1702",6,"d","a_bd10_CV.wav","m",1.06658101082,85.4653220177
"70","ABCD_1702",7,"b","a_bd04_CV.wav","z",0.732786178589,86.2172448635
"71","ABCD_1702",8,"d","a_bd18_CV.wav","m",0.797773122787,87.0331950188
"72","ABCD_1702",9,"d","a_bd16_CV.wav","m",0.707572937012,87.745265007
"73","ABCD_1702",10,"b","a_bd02_CV.wav","z",0.717595100403,88.4731369019
"74","ABCD_1702",11,"d","a_bd10_CV.wav","m",0.734513044357,89.2250318527
"75","ABCD_1702",12,"d","a_bd18_CV.wav","m",1.40692710876,90.6488368511
"76","ABCD_1702",13,"d","a_bd16_CV.wav","m",0.963868141174,91.6247880459
"77","ABCD_1702",14,"b","a_bd06_CV.wav","z",0.922971963882,92.5528988838
"78","ABCD_1702",15,"d","a_bd12_CV.wav","m",1.08393406868,93.6489360332
"79","ABCD_1702",16,"d","a_bd14_CV.wav","m",0.82944893837,94.4966619015
"80","ABCD_1702",17,"b","a_bd08_CV.wav","z",0.674120903015,95.1767220497
"81","ABCD_1702",18,"b","a_bd04_CV.wav","z",0.797191143036,95.9844360352
"82","ABCD_1702",19,"d","a_bd16_CV.wav","m",0.79545712471,96.7844190598
"83","ABCD_1702",20,"d","a_bd12_CV.wav","m",0.761805057526,97.5523660183
"84","ABCD_1702",21,"d","a_bd14_CV.wav","m",1.12096691132,98.6801838875
"85","ABCD_1702",22,"d","a_bd18_CV.wav","m",1.12970304489,99.8241448402
"86","ABCD_1702",23,"b","a_bd02_CV.wav","z",0.993749856949,100.824002028
"87","ABCD_1702",24,"b","a_bd04_CV.wav","z",0.960250854492,101.792491913
"88","ABCD_1702",25,"","a_bd10_CV.wav","",0,103.801264048
"89","ABCD_1702",26,"b","a_bd08_CV.wav","z",0.978683948517,104.783762932
"90","ABCD_1702",27,"","a_bd06_CV.wav","",0,106.790479898
"91","ABCD_1702",28,"b","a_bd02_CV.wav","z",1.4688668251,108.263485909
"92","ABCD_1702",29,"d","a_bd12_CV.wav","m",1.26969003677,109.551396847
"93","ABCD_1702",30,"d","a_bd18_CV.wav","m",1.69665813446,111.263568878
"94","ABCD_1702",31,"b","a_bd04_CV.wav","z",1.04088497162,112.311419964
"95","ABCD_1702",32,"d","a_bd16_CV.wav","m",1.21188211441,113.535052061
"96","ABCD_1702",33,"b","a_bd06_CV.wav","z",1.06503200531,114.606999874
"97","ABCD_1702",34,"d","a_bd10_CV.wav","m",0.98815202713,115.598870039
"98","ABCD_1702",35,"b","a_bd08_CV.wav","z",1.09004807472,116.702872992
"99","ABCD_1702",36,"d","a_bd14_CV.wav","m",0.955605983734,117.670596838
"100","ABCD_1702",37,"b","a_bd06_CV.wav","z",0.778825998306,118.462588072
"101","ABCD_1702",38,"d","a_bd16_CV.wav","m",0.75309419632,119.22258687
"102","ABCD_1702",39,"b","a_bd08_CV.wav","z",0.729431152344,119.966503859
"103","ABCD_1702",40,"d","a_bd14_CV.wav","m",0.84260892868,120.814539909
"104","ABCD_1702",41,"b","a_bd02_CV.wav","z",1.00680708885,121.830412865
"105","ABCD_1702",42,"d","a_bd12_CV.wav","m",0.779711008072,122.622380018
"106","ABCD_1702",43,"b","a_bd04_CV.wav","z",1.08281612396,123.710131884
"107","ABCD_1702",44,"d","a_bd10_CV.wav","m",1.38933897018,125.102128029
"108","ABCD_1702",45,"d","a_bd18_CV.wav","m",0.897840976715,126.014065027
"109","ABCD_1702",46,"d","a_bd14_CV.wav","m",1.33220601082,127.349940062
"110","ABCD_1702",47,"b","a_bd02_CV.wav","z",1.0278570652,128.381790876
"111","ABCD_1702",48,"b","a_bd08_CV.wav","z",1.47998285294,129.869601011
"112","ABCD_1702",49,"b","a_bd10_CV.wav","z",1.83362698555,131.709503889
"113","ABCD_1702",50,"d","a_bd12_CV.wav","m",0.740797042847,132.453589916
"114","ABCD_1702",51,"b","a_bd06_CV.wav","z",1.34854793549,133.813271046
"115","ABCD_1702",52,"d","a_bd18_CV.wav","m",0.804165840149,134.621367931
"116","ABCD_1702",53,"b","a_bd04_CV.wav","z",1.04174590111,135.677335978
"117","ABCD_1702",54,"d","a_bd16_CV.wav","m",1.35705709457,137.045035839
"118","ABCD_1702",55,"b","a_bd06_CV.wav","z",0.851541042328,137.909067869
"119","ABCD_1702",56,"d","a_bd12_CV.wav","m",1.5590069294,139.484935999
"120","ABCD_1702",57,"b","a_bd10_CV.wav","z",0.836889982224,140.332830906
"121","ABCD_1702",58,"d","a_bd16_CV.wav","m",1.01738786697,141.364739895
"122","ABCD_1702",59,"b","a_bd08_CV.wav","z",0.989531993866,142.372626066
"123","ABCD_1702",60,"d","a_bd14_CV.wav","m",0.97162103653,143.356561899
"124","ABCD_1702",61,"b","a_bd02_CV.wav","z",0.714113950729,144.084423065
"125","ABCD_1702",62,"d","a_bd18_CV.wav","m",0.923763990402,145.012308836
"126","ABCD_1702",63,"b","a_bd04_CV.wav","z",1.28458595276,146.308299065
"127","ABCD_1703",1,"d","a_bd18_CV.wav","m",0.95920085907,72.8490619659
"128","ABCD_1703",2,"d","a_bd10_CV.wav","m",0.766392946243,73.6250419617
"129","ABCD_1703",3,"d","a_bd14_CV.wav","m",0.693053007126,74.3370840549
"130","ABCD_1703",4,"b","a_bd04_CV.wav","z",0.864047050476,75.2091460228
"131","ABCD_1703",5,"b","a_bd06_CV.wav","z",0.907061100006,76.1211290359
"132","ABCD_1703",6,"b","a_bd02_CV.wav","z",0.900784015656,77.0330340862
"133","ABCD_1703",7,"d","a_bd12_CV.wav","m",0.878117084503,77.9289250374
"134","ABCD_1703",8,"d","a_bd16_CV.wav","m",0.816551923752,78.7529489994
"135","ABCD_1703",9,"d","a_bd08_CV.wav","m",1.1653740406,79.936923027
"136","ABCD_1703",10,"b","a_bd08_CV.wav","z",0.788521051407,80.7289400101
"137","ABCD_1703",11,"d","a_bd16_CV.wav","m",0.955149173737,81.6970450878
"138","ABCD_1703",12,"b","a_bd02_CV.wav","z",0.826021909714,82.5368390083
"139","ABCD_1703",13,"d","a_bd10_CV.wav","m",0.798986911774,83.3449230194
"140","ABCD_1703",14,"d","a_bd18_CV.wav","m",1.0533080101,84.4008049965
"141","ABCD_1703",15,"b","a_bd06_CV.wav","z",0.711967945099,85.1288199425
"142","ABCD_1703",16,"d","a_bd12_CV.wav","m",0.793892145157,85.9287390709
"143","ABCD_1703",17,"b","a_bd04_CV.wav","z",0.856402873993,86.7927820683
"144","ABCD_1703",18,"d","a_bd14_CV.wav","m",0.891361951828,87.6967220306
"145","ABCD_1703",19,"d","a_bd14_CV.wav","m",0.83789896965,88.544811964
"146","ABCD_1703",20,"b","a_bd02_CV.wav","z",0.76939702034,89.3287210464
"147","ABCD_1703",21,"d","a_bd12_CV.wav","m",0.801019906998,90.1447389126
"148","ABCD_1703",22,"b","a_bd04_CV.wav","z",0.846116065979,91.0087459087
"149","ABCD_1703",23,"b","a_bd08_CV.wav","z",0.826865911484,91.840831995
"150","ABCD_1703",24,"d","a_bd10_CV.wav","m",0.775783061981,92.6248860359
"151","ABCD_1703",25,"b","a_bd06_CV.wav","z",0.822274923325,93.4565899372
"152","ABCD_1703",26,"d","a_bd16_CV.wav","m",1.02735209465,94.4964990616
"153","ABCD_1703",27,"d","a_bd18_CV.wav","m",0.815552949905,95.3205690384
"154","ABCD_1703",28,"b","a_bd06_CV.wav","z",0.837530851364,96.1604859829
"155","ABCD_1703",29,"d","a_bd12_CV.wav","m",0.889519929886,97.0644929409
"156","ABCD_1703",30,"d","a_bd18_CV.wav","m",0.779594898224,97.8564920425
"157","ABCD_1703",31,"d","a_bd14_CV.wav","m",0.722496032715,98.5844140053
"158","ABCD_1703",32,"b","a_bd02_CV.wav","z",0.715563058853,99.3124940395
"159","ABCD_1703",33,"d","a_bd10_CV.wav","m",0.732868909836,100.06445694
"160","ABCD_1703",34,"d","a_bd16_CV.wav","m",0.965185880661,101.048465967
"161","ABCD_1703",35,"b","a_bd04_CV.wav","z",0.83633518219,101.888377905
"162","ABCD_1703",36,"d","a_bd08_CV.wav","m",0.976587057114,102.880421877
"163","ABCD_1703",37,"b","a_bd04_CV.wav","z",0.862826108932,103.752441883
"164","ABCD_1703",38,"d","a_bd10_CV.wav","m",1.39458298683,105.152399063
"165","ABCD_1703",39,"d","a_bd16_CV.wav","m",0.935125112534,106.096299887
"166","ABCD_1703",40,"d","a_bd12_CV.wav","m",0.975471019745,107.088272095
"167","ABCD_1703",41,"d","a_bd14_CV.wav","m",1.06172895432,108.160248041
"168","ABCD_1703",42,"b","a_bd06_CV.wav","z",0.817045927048,108.984544039
"169","ABCD_1703",43,"d","a_bd18_CV.wav","m",0.877451896667,109.880212069
"170","ABCD_1703",44,"b","a_bd02_CV.wav","z",1.16844677925,111.056222916
"171","ABCD_1703",45,"d","a_bd08_CV.wav","m",0.750753164291,111.824137926
"172","ABCD_1703",46,"b","a_bd06_CV.wav","z",0.84677195549,112.68844986
"173","ABCD_1703",47,"b","a_bd08_CV.wav","z",1.02667212486,113.720182896
"174","ABCD_1703",48,"d","a_bd16_CV.wav","m",0.758802890778,114.488101959
"175","ABCD_1703",49,"d","a_bd12_CV.wav","m",0.774518013,115.272170067
"176","ABCD_1703",50,"b","a_bd02_CV.wav","z",0.710093021393,115.992321014
"177","ABCD_1703",51,"d","a_bd10_CV.wav","m",0.631567955017,116.632138968
"178","ABCD_1703",52,"d","a_bd14_CV.wav","m",0.884850978851,117.520026922
"179","ABCD_1703",53,"b","a_bd04_CV.wav","z",0.662882089615,118.200298071
"180","ABCD_1703",54,"d","a_bd18_CV.wav","m",0.770709037781,118.976037979
"181","ABCD_1703",55,"b","a_bd04_CV.wav","z",0.753793001175,119.743972063
"182","ABCD_1703",56,"d","a_bd12_CV.wav","m",1.4094209671,121.167994022
"183","ABCD_1703",57,"b","a_bd06_CV.wav","z",0.94983291626,122.128087997
"184","ABCD_1703",58,"b","a_bd02_CV.wav","z",0.948688983917,123.095903873
"185","ABCD_1703",59,"b","a_bd08_CV.wav","z",1.04497313499,124.143992901
"186","ABCD_1703",60,"d","a_bd16_CV.wav","m",0.648617982864,124.799834013
"187","ABCD_1703",61,"d","a_bd18_CV.wav","m",0.78928399086,125.591814041
"188","ABCD_1703",62,"d","a_bd14_CV.wav","m",0.819545030594,126.423882008
"189","ABCD_1703",63,"d","a_bd10_CV.wav","m",0.856226921082,127.295830011
"190","ABCD_1704",1,"d","a_bd18_CV.wav","m",1.59665513039,102.595649004
"191","ABCD_1704",2,"d","a_bd16_CV.wav","m",0.797327041626,103.435731173
"192","ABCD_1704",3,"d","a_bd10_CV.wav","m",0.933779001236,104.427502155
"193","ABCD_1704",4,"b","a_bd06_CV.wav","z",0.787544965744,105.267603159
"194","ABCD_1704",5,"d","a_bd14_CV.wav","m",0.744229078293,106.01950717
"195","ABCD_1704",6,"b","a_bd02_CV.wav","z",0.76122379303,106.787564039
"196","ABCD_1704",7,"d","a_bd08_CV.wav","m",0.648045063019,107.443564177
"197","ABCD_1704",8,"b","a_bd04_CV.wav","z",0.924414873123,108.387478113
"198","ABCD_1704",9,"d","a_bd12_CV.wav","m",0.653037071228,109.051491976
"199","ABCD_1704",10,"d","a_bd18_CV.wav","m",0.809286117554,109.875485182
"200","ABCD_1704",11,"b","a_bd06_CV.wav","z",0.566537857056,110.451399088
"201","ABCD_1704",12,"b","a_bd02_CV.wav","z",0.885372161865,111.355447054
"202","ABCD_1704",13,"d","a_bd12_CV.wav","m",0.720269918442,112.091611147
"203","ABCD_1704",14,"d","a_bd10_CV.wav","m",0.993409156799,113.099385977
"204","ABCD_1704",15,"d","a_bd14_CV.wav","m",1.03931307793,114.147392988
"205","ABCD_1704",16,"d","a_bd16_CV.wav","m",0.850969791412,115.011260033
"206","ABCD_1704",17,"b","a_bd04_CV.wav","z",0.92626285553,115.955387115
"207","ABCD_1704",18,"d","a_bd08_CV.wav","m",0.958827018738,116.923320055
"208","ABCD_1704",19,"b","a_bd06_CV.wav","z",0.66200709343,117.595214128
"209","ABCD_1704",20,"d","a_bd18_CV.wav","m",0.730416059494,118.331394196
"210","ABCD_1704",21,"b","a_bd02_CV.wav","z",0.683254003525,119.019174099
"211","ABCD_1704",22,"d","a_bd16_CV.wav","m",0.549845933914,119.587196112
"212","ABCD_1704",23,"d","a_bd14_CV.wav","m",0.693528175354,120.299130201
"213","ABCD_1704",24,"b","a_bd04_CV.wav","z",0.792339086533,121.099160194
"214","ABCD_1704",25,"d","a_bd10_CV.wav","m",0.623094797134,121.731502056
"215","ABCD_1704",26,"d","a_bd08_CV.wav","m",1.56416511536,123.307142019
"216","ABCD_1704",27,"b","a_bd12_CV.wav","z",0.697921991348,124.011089087
